payment_id,order_id,invoice_no,entity_type,method,gross_amount,fee,tax,net_amount,currency,settled,settlement_id,settlement_utr,created_at,settled_at
pay_II33529042QZ,ORD-10049,INV-10049,payment,card,1438.88,33.96,6.11,1398.81,INR,true,setl_50043,2102053950240268,2026-08-20,2026-08-22
pay_ON77589178CU,ORD-10050,INV-10050,payment,card,4597.37,108.5,19.53,4469.34,INR,true,setl_50044,8470076617711592,2026-08-19,2026-08-21
pay_SD49985698GM,ORD-10051,INV-10051,payment,card,6624.81,156.35,28.14,6440.32,INR,true,setl_50045,6118367365766156,2026-08-19,2026-08-21
pay_GV52711116VX,ORD-10052,INV-10052,payment,card,6505.66,153.53,27.64,6324.49,INR,true,setl_50046,2809885165604945,2026-08-19,2026-08-21
pay_XH83273158WR,ORD-10053,INV-10053,payment,card,2665.11,62.9,11.32,2590.89,INR,true,setl_50047,9368998094024455,2026-08-19,2026-08-21
pay_NY29612018AD,ORD-10055,INV-10055,payment,card,3975.04,93.81,16.89,3864.34,INR,true,setl_50048,5254599102290147,2026-08-19,2026-08-21
pay_DA97840369NT,ORD-10057,INV-10057,payment,card,6719.15,158.57,28.54,6532.04,INR,true,setl_50049,3244510762268388,2026-08-20,2026-08-22
pay_BK60607159ZT,ORD-10058,INV-10058,payment,card,3177.07,74.98,13.5,3088.59,INR,true,setl_50050,6416052975161369,2026-08-20,2026-08-22
pay_GO16453521HH,ORD-10059,INV-10059,payment,card,890.29,21.01,3.78,865.5,INR,true,setl_50051,8355231243292127,2026-08-21,2026-08-23
pay_EE97995527CO,ORD-10060,INV-10060,payment,card,5965.52,140.79,25.34,5799.39,INR,true,setl_50052,4490581477005411,2026-08-21,2026-08-23
pay_PM86798079UM,ORD-10061,INV-10061,payment,card,680.09,16.05,2.89,661.15,INR,true,setl_50053,7820715182037788,2026-08-22,2026-08-24
pay_YO55466590PV,ORD-10062,INV-10062,payment,card,6070.84,143.27,25.79,5901.78,INR,true,setl_50054,1518644925192546,2026-08-22,2026-08-24
pay_PQ14865281BG,ORD-10063,INV-10063,payment,card,1461.9,34.5,6.21,1421.19,INR,true,setl_50055,5054235733221418,2026-08-22,2026-08-24
pay_LS05929622XN,ORD-10064,INV-10064,payment,card,2849.94,67.26,12.11,2770.57,INR,true,setl_50056,2706537947383473,2026-08-23,2026-08-25
