sr_no,order_id,book_date,value_date,client_id,invoice_no,payment_ref,category,transaction_currency,base_currency,amount_transaction_ccy,amount_base_ccy,gst_amount,acc_no,statement_no,bank_ref_no,status
15,ORD-10015,2026-08-07,2026-08-07,CUST-83579,INV-10014,pay_KV16400524CJ,SALES,INR,INR,2924.4,2924.4,446.09,XXXXXXXX4521,,,completed
16,ORD-10016,2026-08-08,2026-08-08,CUST-66155,INV-10016,pay_VJ53315869PK,SALES,INR,INR,9007.88,9007.88,1374.08,XXXXXXXX4521,,,completed
17,ORD-10017,2026-08-08,2026-08-08,CUST-38746,INV-10017,pay_XR33036541WP,SALES,INR,INR,6981.08,6981.08,1064.91,XXXXXXXX4521,,,completed
18,ORD-10018,2026-08-08,2026-08-08,CUST-21915,INV-10018,pay_AH81693406ZI,SALES,INR,INR,7630.09,7630.09,1163.91,XXXXXXXX4521,,,completed
19,ORD-10019,2026-08-08,2026-08-08,CUST-92240,INV-10019,pay_AT66299468SN,SALES,INR,INR,1850.83,1850.83,282.33,XXXXXXXX4521,,,completed
20,ORD-10020,2026-08-08,2026-08-08,CUST-88172,INV-10020,pay_NX43320037ED,SALES,INR,INR,724.64,724.64,110.54,XXXXXXXX4521,,,completed
21,ORD-10021,2026-08-08,2026-08-08,CUST-79352,INV-10021,pay_WC17278895NU,SALES,INR,INR,2737.72,2737.72,417.62,XXXXXXXX4521,,,completed
22,ORD-10022,2026-08-08,2026-08-08,CUST-99166,INV-10022,pay_YS45581223JT,SALES,INR,INR,7290.0,7290.0,1112.03,XXXXXXXX4521,,,completed
23,ORD-10023,2026-08-09,2026-08-09,CUST-44973,INV-10023,pay_FO54668893RB,SALES,INR,INR,7754.41,7754.41,1182.88,XXXXXXXX4521,,,completed
24,ORD-10024,2026-08-09,2026-08-09,CUST-48469,INV-10024,pay_UV72046537WY,SALES,INR,INR,2890.21,2890.21,440.88,XXXXXXXX4521,,,completed
25,ORD-10025,2026-08-09,2026-08-09,CUST-10425,INV-10025,pay_WO46417080PE,SALES,INR,INR,9551.01,9551.01,1456.93,XXXXXXXX4521,,,completed
26,ORD-10026,2026-08-09,2026-08-09,CUST-75612,INV-10026,pay_KR91241904YZ,SALES,INR,INR,6332.74,6332.74,966.01,XXXXXXXX4521,,,partially_refunded
27,ORD-10027,2026-08-10,2026-08-10,CUST-49117,INV-10027,pay_LU67165726HP,SALES,INR,INR,8463.19,8463.19,1291.0,XXXXXXXX4521,,,completed
28,ORD-10028,2026-08-11,2026-08-11,CUST-36071,INV-10028,pay_ZQ50752735VR,SALES,INR,INR,1781.54,1781.54,271.76,XXXXXXXX4521,,,completed
29,ORD-10029,2026-08-12,2026-08-12,CUST-79514,INV-10029,pay_HW36349578BV,SALES,INR,INR,4632.22,4632.22,706.61,XXXXXXXX4521,,,completed
30,ORD-10030,2026-08-12,2026-08-12,CUST-79514,INV-10029,pay_HW36349578BV,SALES,INR,INR,4632.22,4632.22,706.61,XXXXXXXX4521,,,completed
31,ORD-10031,2026-08-12,2026-08-12,CUST-74042,INV-10031,pay_XL98941343TA,SALES,INR,INR,487.92,487.92,74.43,XXXXXXXX4521,,,completed
32,ORD-10032,2026-08-12,2026-08-12,CUST-41385,INV-10032,pay_KO04711671RD,SALES,INR,INR,1462.4,1462.4,223.08,XXXXXXXX4521,,,completed
33,ORD-10033,2026-08-13,2026-08-13,CUST-73699,INV-10033,pay_WN96499091ON,SALES,INR,INR,8214.43,8214.43,1253.05,XXXXXXXX4521,,,completed
34,ORD-10034,2026-08-13,2026-08-13,CUST-26828,INV-10034,pay_IO71349361PJ,SALES,INR,INR,6698.58,6698.58,1021.82,XXXXXXXX4521,,,completed
35,ORD-10035,2026-08-13,2026-08-13,CUST-44741,INV-10035,pay_BF71906594OR,SALES,INR,INR,4692.72,4692.72,715.84,XXXXXXXX4521,,,partially_refunded
36,ORD-10036,2026-08-14,2026-08-14,CUST-36365,INV-10036,pay_SQ65512567ZW,SALES,INR,INR,7214.61,7214.61,1100.53,XXXXXXXX4521,,,completed
37,ORD-10037,2026-08-15,2026-08-15,CUST-95180,INV-10037,pay_SC97703482SF,SALES,INR,INR,2800.92,2800.92,427.26,XXXXXXXX4521,,,completed
38,ORD-10038,2026-08-15,2026-08-15,CUST-42493,INV-10038,pay_JY84677378MM,SALES,INR,INR,2478.56,2478.56,378.09,XXXXXXXX4521,,,completed
39,ORD-10039,2026-08-15,2026-08-15,CUST-87110,INV-10039,pay_SP55886753KY,SALES,INR,INR,4876.45,4876.45,743.87,XXXXXXXX4521,,,partially_refunded
40,ORD-10040,2026-08-15,2026-08-15,CUST-92719,INV-10040,pay_VN70262174SZ,SALES,INR,INR,1411.12,1411.12,215.26,XXXXXXXX4521,,,partially_refunded
41,ORD-10041,2026-08-15,2026-08-15,CUST-19287,INV-10041,pay_XB24005045JP,SALES,INR,INR,5286.31,5286.31,806.39,XXXXXXXX4521,,,completed
42,ORD-10042,2026-08-16,2026-08-16,CUST-73624,INV-10042,pay_WL40748217TO,SALES,INR,INR,2712.89,2712.89,413.83,XXXXXXXX4521,,,completed
43,ORD-10043,2026-08-16,2026-08-16,CUST-63354,INV-10043,pay_ZW09097439OO,SALES,INR,INR,2145.98,2145.98,327.35,XXXXXXXX4521,,,completed
44,ORD-10044,2026-08-17,2026-08-17,CUST-66498,INV-10044,pay_EZ28588424SV,SALES,INR,INR,2093.34,2093.34,319.32,XXXXXXXX4521,,,completed
45,ORD-10045,2026-08-17,2026-08-17,CUST-66498,INV-10044,pay_EZ28588424SV,SALES,INR,INR,2093.34,2093.34,319.32,XXXXXXXX4521,,,completed
46,ORD-10046,2026-08-17,2026-08-17,CUST-17100,INV-10046,pay_JU96513709NO,SALES,INR,INR,4202.51,4202.51,641.06,XXXXXXXX4521,,,completed
47,ORD-10047,2026-08-18,2026-08-18,CUST-22899,INV-10047,pay_TF17461200HG,SALES,INR,INR,886.94,886.94,135.3,XXXXXXXX4521,,,completed
48,ORD-10048,2026-08-18,2026-08-18,CUST-24322,INV-10048,pay_PW37735158DZ,SALES,INR,INR,2710.97,2710.97,413.54,XXXXXXXX4521,,,completed
49,ORD-10049,2026-08-19,2026-08-19,CUST-68800,INV-10049,pay_II33529042QZ,SALES,INR,INR,1980.28,1980.28,302.08,XXXXXXXX4521,,,partially_refunded
50,ORD-10050,2026-08-19,2026-08-19,CUST-19880,INV-10050,pay_ON77589178CU,SALES,INR,INR,4597.37,4597.37,701.29,XXXXXXXX4521,,,completed
51,ORD-10051,2026-08-19,2026-08-19,CUST-16630,INV-10051,pay_SD49985698GM,SALES,INR,INR,6624.81,6624.81,1010.56,XXXXXXXX4521,,,completed
52,ORD-10052,2026-08-19,2026-08-19,CUST-22224,INV-10052,pay_GV52711116VX,SALES,INR,INR,6505.66,6505.66,992.39,XXXXXXXX4521,,,completed
53,ORD-10053,2026-08-19,2026-08-19,CUST-73653,INV-10053,pay_XH83273158WR,SALES,INR,INR,2665.11,2665.11,406.54,XXXXXXXX4521,,,completed
54,ORD-10054,2026-08-19,2026-08-19,CUST-73653,INV-10053,pay_XH83273158WR,SALES,INR,INR,2665.11,2665.11,406.54,XXXXXXXX4521,,,completed
55,ORD-10055,2026-08-19,2026-08-19,CUST-31579,INV-10055,pay_NY29612018AD,SALES,INR,INR,3975.04,3975.04,606.36,XXXXXXXX4521,,,completed
56,ORD-10056,2026-08-19,2026-08-19,CUST-69638,INV-10056,pay_BH97643815SR,SALES,INR,INR,2067.87,2067.87,315.44,XXXXXXXX4521,,,completed
57,ORD-10057,2026-08-20,2026-08-20,CUST-82845,INV-10057,pay_DA97840369NT,SALES,INR,INR,6719.15,6719.15,1024.96,XXXXXXXX4521,,,completed
58,ORD-10058,2026-08-20,2026-08-20,CUST-34890,INV-10058,pay_BK60607159ZT,SALES,INR,INR,3177.07,3177.07,484.64,XXXXXXXX4521,,,completed
59,ORD-10059,2026-08-21,2026-08-21,CUST-81066,INV-10059,pay_GO16453521HH,SALES,INR,INR,890.29,890.29,135.81,XXXXXXXX4521,,,completed
60,ORD-10060,2026-08-21,2026-08-21,CUST-16572,INV-10060,pay_EE97995527CO,SALES,INR,INR,5965.52,5965.52,909.99,XXXXXXXX4521,,,completed
61,ORD-10061,2026-08-22,2026-08-22,CUST-30635,INV-10061,pay_PM86798079UM,SALES,INR,INR,680.09,680.09,103.74,XXXXXXXX4521,,,completed
62,ORD-10062,2026-08-22,2026-08-22,CUST-18981,INV-10062,pay_YO55466590PV,SALES,INR,INR,6070.84,6070.84,926.06,XXXXXXXX4521,,,completed
63,ORD-10063,2026-08-22,2026-08-22,CUST-62923,INV-10063,pay_PQ14865281BG,SALES,INR,INR,1461.9,1461.9,223.0,XXXXXXXX4521,,,completed
64,ORD-10064,2026-08-22,2026-08-22,CUST-85880,INV-10064,pay_LS05929622XN,SALES,INR,INR,5160.63,5160.63,787.21,XXXXXXXX4521,,,partially_refunded
