sr_no,order_id,book_date,value_date,client_id,invoice_no,payment_ref,category,transaction_currency,base_currency,amount_transaction_ccy,amount_base_ccy,gst_amount,acc_no,statement_no,bank_ref_no,status
22,ORD-10022,2026-08-06,2026-08-06,CUST-64582,INV-10022,pay_SF27259085YF,SALES,INR,INR,1409.87,1409.87,215.06,XXXXXXXX4521,,,completed
23,ORD-10023,2026-08-07,2026-08-07,CUST-27072,INV-10023,pay_EY11007933EH,SALES,INR,INR,7548.03,7548.03,1151.39,XXXXXXXX4521,,,completed
24,ORD-10024,2026-08-07,2026-08-07,CUST-21423,INV-10024,pay_ZO46728553TK,SALES,INR,INR,5760.34,5760.34,878.7,XXXXXXXX4521,,,completed
25,ORD-10025,2026-08-07,2026-08-07,CUST-36335,INV-10025,pay_OD91088046FZ,SALES,INR,INR,8915.39,8915.39,1359.97,XXXXXXXX4521,,,completed
26,ORD-10026,2026-08-07,2026-08-07,CUST-12578,INV-10026,pay_BD65093195QC,SALES,INR,INR,4892.27,4892.27,746.28,XXXXXXXX4521,,,completed
27,ORD-10027,2026-08-08,2026-08-08,CUST-33834,INV-10027,pay_UG46975753CG,SALES,INR,INR,7330.76,7330.76,1118.25,XXXXXXXX4521,,,partially_refunded
28,ORD-10028,2026-08-08,2026-08-08,CUST-62491,INV-10028,pay_AJ77498632RU,SALES,INR,INR,1862.75,1862.75,284.15,XXXXXXXX4521,,,completed
29,ORD-10029,2026-08-08,2026-08-08,CUST-62491,INV-10028,pay_AJ77498632RU,SALES,INR,INR,1862.75,1862.75,284.15,XXXXXXXX4521,,,completed
30,ORD-10030,2026-08-08,2026-08-08,CUST-90407,INV-10030,pay_XH27016520HV,SALES,INR,INR,5474.49,5474.49,835.09,XXXXXXXX4521,,,completed
31,ORD-10031,2026-08-09,2026-08-09,CUST-62168,INV-10031,pay_XQ30766435KK,SALES,INR,INR,9714.91,9714.91,1481.94,XXXXXXXX4521,,,completed
32,ORD-10032,2026-08-09,2026-08-09,CUST-21051,INV-10032,pay_UT70854481ES,SALES,INR,INR,6326.5,6326.5,965.06,XXXXXXXX4521,,,partially_refunded
33,ORD-10033,2026-08-09,2026-08-09,CUST-93336,INV-10033,pay_WO74334379TS,SALES,INR,INR,855.71,855.71,130.53,XXXXXXXX4521,,,completed
34,ORD-10034,2026-08-10,2026-08-10,CUST-72584,INV-10034,pay_IC92769191YH,SALES,INR,INR,1805.04,1805.04,275.35,XXXXXXXX4521,,,completed
35,ORD-10035,2026-08-10,2026-08-10,CUST-39745,INV-10035,pay_CV91994792EK,SALES,INR,INR,1010.68,1010.68,154.17,XXXXXXXX4521,,,completed
36,ORD-10036,2026-08-10,2026-08-10,CUST-70702,INV-10036,pay_BY76656727TM,SALES,INR,INR,4666.93,4666.93,711.9,XXXXXXXX4521,,,completed
37,ORD-10037,2026-08-11,2026-08-11,CUST-36719,INV-10037,pay_FA80335001KV,SALES,INR,INR,4048.53,4048.53,617.57,XXXXXXXX4521,,,partially_refunded
38,ORD-10038,2026-08-11,2026-08-11,CUST-10382,INV-10038,pay_AL32719961QV,SALES,INR,INR,2443.43,2443.43,372.73,XXXXXXXX4521,,,completed
39,ORD-10039,2026-08-11,2026-08-11,CUST-64478,INV-10039,pay_ZU14008099UU,SALES,INR,INR,1282.38,1282.38,195.62,XXXXXXXX4521,,,completed
40,ORD-10040,2026-08-11,2026-08-11,CUST-66999,INV-10040,pay_XX10181692HY,SALES,INR,INR,7184.58,7184.58,1095.95,XXXXXXXX4521,,,completed
41,ORD-10041,2026-08-12,2026-08-12,CUST-33700,INV-10041,pay_YL47519476DJ,SALES,INR,INR,3954.45,3954.45,603.22,XXXXXXXX4521,,,completed
42,ORD-10042,2026-08-12,2026-08-12,CUST-96298,INV-10042,pay_UQ85580177GI,SALES,INR,INR,7477.69,7477.69,1140.66,XXXXXXXX4521,,,completed
43,ORD-10043,2026-08-13,2026-08-13,CUST-58004,INV-10043,pay_WE46022033OM,SALES,INR,INR,4079.49,4079.49,622.3,XXXXXXXX4521,,,completed
44,ORD-10044,2026-08-13,2026-08-13,CUST-48403,INV-10044,pay_IM56501540MT,SALES,INR,INR,7615.65,7615.65,1161.71,XXXXXXXX4521,,,completed
45,ORD-10045,2026-08-13,2026-08-13,CUST-80259,INV-10045,pay_HN50325609IS,SALES,INR,INR,7270.9,7270.9,1109.12,XXXXXXXX4521,,,partially_refunded
46,ORD-10046,2026-08-13,2026-08-13,CUST-53755,INV-10046,pay_BN67228193XI,SALES,INR,INR,425.19,425.19,64.86,XXXXXXXX4521,,,completed
47,ORD-10047,2026-08-13,2026-08-13,CUST-78176,INV-10047,pay_SJ26065805EI,SALES,INR,INR,7676.84,7676.84,1171.04,XXXXXXXX4521,,,completed
48,ORD-10048,2026-08-13,2026-08-13,CUST-72883,INV-10048,pay_OA79831899TL,SALES,INR,INR,6900.52,6900.52,1052.62,XXXXXXXX4521,,,partially_refunded
49,ORD-10049,2026-08-13,2026-08-13,CUST-77306,INV-10049,pay_XE32530254MI,SALES,INR,INR,4551.65,4551.65,694.32,XXXXXXXX4521,,,completed
50,ORD-10050,2026-08-13,2026-08-13,CUST-26807,INV-10050,pay_CN79832868NT,SALES,INR,INR,4103.59,4103.59,625.97,XXXXXXXX4521,,,completed
51,ORD-10051,2026-08-13,2026-08-13,CUST-29601,INV-10051,pay_FZ43258742SM,SALES,INR,INR,352.33,352.33,53.75,XXXXXXXX4521,,,completed
52,ORD-10052,2026-08-13,2026-08-13,CUST-67183,INV-10052,pay_VS14359143RO,SALES,INR,INR,661.13,661.13,100.85,XXXXXXXX4521,,,completed
53,ORD-10053,2026-08-13,2026-08-13,CUST-67183,INV-10052,pay_VS14359143RO,SALES,INR,INR,661.13,661.13,100.85,XXXXXXXX4521,,,completed
54,ORD-10054,2026-08-13,2026-08-13,CUST-72068,INV-10054,pay_NU30156572ZK,SALES,INR,INR,5108.71,5108.71,779.29,XXXXXXXX4521,,,completed
55,ORD-10055,2026-08-14,2026-08-14,CUST-59357,INV-10055,pay_TX06790386VI,SALES,INR,INR,5313.65,5313.65,810.56,XXXXXXXX4521,,,completed
56,ORD-10056,2026-08-15,2026-08-15,CUST-72489,INV-10056,pay_XF98415444GY,SALES,INR,INR,8530.08,8530.08,1301.2,XXXXXXXX4521,,,completed
57,ORD-10057,2026-08-16,2026-08-16,CUST-91700,INV-10057,pay_FW82988088DK,SALES,INR,INR,5128.77,5128.77,782.35,XXXXXXXX4521,,,completed
58,ORD-10058,2026-08-16,2026-08-16,CUST-51258,INV-10058,pay_XF03994406EO,SALES,INR,INR,8153.36,8153.36,1243.73,XXXXXXXX4521,,,completed
59,ORD-10059,2026-08-17,2026-08-17,CUST-85763,INV-10059,pay_IE21379063JR,SALES,INR,INR,8198.87,8198.87,1250.68,XXXXXXXX4521,,,completed
60,ORD-10060,2026-08-18,2026-08-18,CUST-25603,INV-10060,pay_AZ08582294XJ,SALES,INR,INR,2563.02,2563.02,390.97,XXXXXXXX4521,,,completed
61,ORD-10061,2026-08-18,2026-08-18,CUST-25603,INV-10060,pay_AZ08582294XJ,SALES,INR,INR,2563.02,2563.02,390.97,XXXXXXXX4521,,,completed
62,ORD-10062,2026-08-18,2026-08-18,CUST-88324,INV-10062,pay_BH77608336NF,SALES,INR,INR,2168.01,2168.01,330.71,XXXXXXXX4521,,,completed
63,ORD-10063,2026-08-18,2026-08-18,CUST-57975,INV-10063,pay_JN76540035HH,SALES,INR,INR,5189.27,5189.27,791.58,XXXXXXXX4521,,,completed
64,ORD-10064,2026-08-18,2026-08-18,CUST-86503,INV-10064,pay_UH04603606EQ,SALES,INR,INR,9409.57,9409.57,1435.36,XXXXXXXX4521,,,completed
