payment_id,order_id,invoice_no,entity_type,method,gross_amount,fee,tax,net_amount,currency,settled,settlement_id,settlement_utr,created_at,settled_at
pay_CV91994792EK,ORD-10035,INV-10035,payment,card,1010.68,23.85,4.29,982.54,INR,true,setl_50031,2354899130777665,2026-08-10,2026-08-12
pay_BY76656727TM,ORD-10036,INV-10036,payment,card,4666.93,110.14,19.83,4536.96,INR,true,setl_50032,4118435250735035,2026-08-10,2026-08-12
pay_FA80335001KV,ORD-10037,INV-10037,payment,card,2391.34,56.44,10.16,2324.74,INR,true,setl_50033,3979456255923017,2026-08-12,2026-08-14
pay_ZU14008099UU,ORD-10039,INV-10039,payment,card,1282.38,30.26,5.45,1246.67,INR,true,setl_50034,7307874067077713,2026-08-11,2026-08-13
pay_XX10181692HY,ORD-10040,INV-10040,payment,card,7184.58,169.56,30.52,6984.5,INR,true,setl_50035,9798288437290053,2026-08-11,2026-08-13
pay_UQ85580177GI,ORD-10042,INV-10042,payment,card,7477.69,176.47,31.76,7269.46,INR,true,setl_50036,9754087690605741,2026-08-12,2026-08-14
pay_WE46022033OM,ORD-10043,INV-10043,payment,card,4079.49,96.28,17.33,3965.88,INR,true,setl_50037,7138713594105205,2026-08-13,2026-08-15
pay_IM56501540MT,ORD-10044,INV-10044,payment,card,7615.65,179.73,32.35,7403.57,INR,true,setl_50038,0109542911841148,2026-08-13,2026-08-15
pay_HN50325609IS,ORD-10045,INV-10045,payment,card,3890.54,91.82,16.53,3782.19,INR,true,setl_50039,5058211810402118,2026-08-14,2026-08-16
pay_BN67228193XI,ORD-10046,INV-10046,payment,card,425.19,10.03,1.81,413.35,INR,true,setl_50040,6085599788078415,2026-08-13,2026-08-15
pay_SJ26065805EI,ORD-10047,INV-10047,payment,card,7676.84,181.17,32.61,7463.06,INR,true,setl_50041,5264484704593693,2026-08-13,2026-08-15
pay_OA79831899TL,ORD-10048,INV-10048,payment,card,4882.77,115.23,20.74,4746.8,INR,true,setl_50042,6346570299197550,2026-08-14,2026-08-16
pay_XE32530254MI,ORD-10049,INV-10049,payment,card,4551.65,107.42,19.34,4424.89,INR,true,setl_50043,4912457227854259,2026-08-13,2026-08-15
pay_CN79832868NT,ORD-10050,INV-10050,payment,card,4103.59,96.84,17.43,3989.32,INR,true,setl_50044,3729014535148277,2026-08-13,2026-08-15
pay_FZ43258742SM,ORD-10051,INV-10051,payment,card,352.33,8.31,1.5,342.52,INR,true,setl_50045,3918273653273332,2026-08-13,2026-08-15
pay_VS14359143RO,ORD-10052,INV-10052,payment,card,661.13,15.6,2.81,642.72,INR,true,setl_50046,4439010147778527,2026-08-13,2026-08-15
pay_NU30156572ZK,ORD-10054,INV-10054,payment,card,5108.71,120.57,21.7,4966.44,INR,true,setl_50047,3833776139678093,2026-08-13,2026-08-15
pay_TX06790386VI,ORD-10055,INV-10055,payment,card,5313.65,125.4,22.57,5165.68,INR,true,setl_50048,4981304256668082,2026-08-14,2026-08-16
pay_XF98415444GY,ORD-10056,INV-10056,payment,card,8530.08,201.31,36.24,8292.53,INR,true,setl_50049,4718793510860440,2026-08-15,2026-08-17
pay_FW82988088DK,ORD-10057,INV-10057,payment,card,5128.77,121.04,21.79,4985.94,INR,true,setl_50050,3269049902876245,2026-08-16,2026-08-18
pay_XF03994406EO,ORD-10058,INV-10058,payment,card,8153.36,192.42,34.64,7926.3,INR,true,setl_50051,3890949580850177,2026-08-16,2026-08-18
pay_IE21379063JR,ORD-10059,INV-10059,payment,card,8198.87,193.49,34.83,7970.55,INR,true,setl_50052,3472106039588883,2026-08-17,2026-08-19
pay_AZ08582294XJ,ORD-10060,INV-10060,payment,card,2563.02,60.49,10.89,2491.64,INR,true,setl_50053,3063991062016212,2026-08-18,2026-08-20
pay_BH77608336NF,ORD-10062,INV-10062,payment,card,2168.01,51.17,9.21,2107.63,INR,true,setl_50054,7011648493119687,2026-08-18,2026-08-20
pay_JN76540035HH,ORD-10063,INV-10063,payment,card,5189.27,122.47,22.04,5044.76,INR,true,setl_50055,5266862899495139,2026-08-18,2026-08-20
pay_UH04603606EQ,ORD-10064,INV-10064,payment,card,9409.57,222.07,39.97,9147.53,INR,true,setl_50056,0001030833570734,2026-08-18,2026-08-20
